iter	RMSE
0	260463.0698
1	241336.3415
2	225449.1949
3	211134.4105
4	197613.1895
5	185615.0004
6	174357.8276
7	164609.828
8	155998.1064
9	148099.8594
10	141747.1143
11	135333.5804
12	130139.3949
13	125362.7618
14	119528.4026
15	114192.0073
16	109874.9336
17	105612.0465
18	102058.3534
19	98904.14317
20	95948.93037
21	93250.67282
22	91136.51878
23	89096.88506
24	87176.37178
25	85638.21459
26	83773.0408
27	82706.33361
28	81409.99959
29	80094.91249
30	78831.46702
31	77444.94789
32	76488.2423
33	75481.3115
34	74819.84444
35	73830.11486
36	73207.75419
37	72311.95405
38	71818.70467
39	70972.49823
40	70411.30126
41	69735.4759
42	69296.68875
43	68907.33572
44	68621.98579
45	68083.07315
46	67643.92038
47	67091.20215
48	66704.10228
49	66377.35953
50	65969.80719
51	65540.01055
52	65232.36968
53	65047.93917
54	64679.42644
55	64260.04293
56	64113.19822
57	63868.85613
58	63490.12735
59	63163.18123
60	62970.90878
61	62626.45439
62	62381.64926
63	62077.07749
64	61832.83104
65	61616.50564
66	61381.29785
67	61108.89105
68	60978.94444
69	60855.40126
70	60583.59884
71	60348.29138
72	60152.83895
73	59852.89101
74	59714.25243
75	59416.07778
76	59139.24715
77	58979.13778
78	58884.61417
79	58709.47507
80	58539.39899
81	58395.5237
82	58170.51776
83	57919.56985
84	57671.33119
85	57497.55835
86	57309.20072
87	57198.8219
88	57044.30981
89	56793.52123
90	56668.05817
91	56521.0395
92	56371.02531
93	56044.59927
94	55819.45539
95	55638.79043
96	55410.39393
97	55200.03204
98	55068.42101
99	54911.6066
100	54701.27485
101	54593.29683
102	54454.97469
103	54235.69381
104	54088.18735
105	53852.54058
106	53686.12442
107	53538.96782
108	53306.68722
109	53127.16712
110	52964.19657
111	52817.01836
112	52667.24519
113	52479.37696
114	52330.2347
115	52169.55488
116	52002.17667
117	51852.38862
118	51682.34902
119	51519.37883
120	51450.59395
121	51344.91939
122	51175.65292
123	51051.32668
124	50933.59584
125	50817.22631
126	50722.44937
127	50607.6477
128	50462.54376
129	50298.73782
130	50187.15153
131	50055.57295
132	49934.96254
133	49820.24129
134	49745.87457
135	49601.14671
136	49510.76336
137	49342.84344
138	49228.59519
139	49160.90167
140	49036.66211
141	48969.82947
142	48860.64533
143	48748.23685
144	48669.22869
145	48545.44145
146	48465.59109
147	48350.49847
148	48254.30137
149	48175.319
150	48032.20194
151	47933.2637
152	47782.28047
153	47695.71935
154	47590.52464
155	47450.193
156	47384.72366
157	47285.18479
158	47224.75062
159	47151.16197
160	47007.87744
161	46952.65091
162	46827.37802
163	46738.79884
164	46576.66764
165	46460.92651
166	46407.11086
167	46363.28086
168	46229.07834
169	46147.81966
170	46051.45981
171	45990.71326
172	45927.51168
173	45830.9275
174	45749.59917
175	45679.0965
176	45597.86434
177	45529.59656
178	45474.01083
179	45422.71714
180	45326.08377
181	45243.02117
182	45182.82833
183	45145.40265
184	45043.81952
185	44999.83195
186	44943.48116
187	44810.74004
188	44720.36435
189	44639.81443
190	44590.71448
191	44467.39812
192	44391.21323
193	44293.38855
194	44198.65396
195	44141.46445
196	44081.48911
197	44035.08325
198	44000.09526
199	43903.04247
200	43787.46723
201	43687.59728
202	43589.69017
203	43556.46225
204	43487.65449
205	43402.84384
206	43347.54843
207	43278.9049
208	43221.10102
209	43162.23276
210	43108.14909
211	43040.11308
212	42964.59733
213	42912.35378
214	42833.59974
215	42778.43995
216	42707.85996
217	42647.45191
218	42585.75693
219	42516.79892
220	42459.51061
221	42312.84903
222	42231.35212
223	42178.33071
224	42070.96075
225	42015.31369
226	41962.25756
227	41917.16278
228	41867.92841
229	41825.80261
230	41765.1917
231	41695.90227
232	41619.47501
233	41535.69819
234	41422.54772
235	41392.42341
236	41315.49384
237	41240.23991
238	41163.32634
239	41113.24501
240	41019.18627
241	40948.04966
242	40902.34461
243	40845.27038
244	40769.56688
245	40722.74364
246	40640.36712
247	40603.12321
248	40547.27759
249	40503.12968
250	40462.06319
251	40383.43458
252	40338.88884
253	40264.69714
254	40214.18623
255	40170.71028
256	40103.98082
257	40055.32881
258	40011.49556
259	39947.52411
260	39905.0884
261	39844.63758
262	39813.8328
263	39739.27398
264	39686.551
265	39624.23335
266	39557.81878
267	39508.66457
268	39465.34674
269	39390.26981
270	39367.64111
271	39329.42733
272	39296.70062
273	39256.80893
274	39202.23655
275	39116.94497
276	39067.80798
277	39032.59003
278	38985.15223
279	38904.92939
280	38866.03936
281	38825.6226
282	38764.42049
283	38711.99801
284	38681.78009
285	38646.47593
286	38573.48694
287	38534.99128
288	38507.12949
289	38451.29192
290	38405.18598
291	38379.8549
292	38347.22361
293	38298.53535
294	38241.38986
295	38210.80393
296	38156.08114
297	38121.58831
298	38076.02426
299	38038.60865
300	38001.27479
301	37966.934
302	37930.96337
303	37881.24925
304	37840.89883
305	37809.20677
306	37761.64803
307	37704.275
308	37652.98027
309	37608.74284
310	37578.01228
311	37545.8326
312	37489.66433
313	37447.85458
314	37421.4174
315	37366.54471
316	37321.60137
317	37274.77372
318	37236.3061
319	37203.194
320	37146.35742
321	37123.60305
322	37087.34627
323	37045.41139
324	36992.78379
325	36939.68012
326	36911.39327
327	36885.33621
328	36837.09397
329	36806.95889
330	36783.33387
331	36710.70753
332	36636.03077
333	36605.16008
334	36565.57768
335	36530.42308
336	36489.44266
337	36461.05773
338	36425.54211
339	36390.25797
340	36339.76957
341	36293.67583
342	36232.20187
343	36208.79476
344	36179.80624
345	36140.77993
346	36115.51203
347	36057.98014
348	36029.5805
349	36005.74193
350	35968.51775
351	35935.82446
352	35894.61174
353	35863.3364
354	35814.54046
355	35780.79926
356	35760.14772
357	35720.80727
358	35699.10781
359	35673.82657
360	35642.93281
361	35600.75021
362	35563.26482
363	35537.65429
364	35505.49533
365	35477.74569
366	35438.48156
367	35393.07681
368	35332.46131
369	35283.04882
370	35250.75061
371	35208.75859
372	35179.34113
373	35152.71635
374	35116.87498
375	35080.00201
376	35037.90707
377	34997.3739
378	34962.39585
379	34928.71205
380	34893.4697
381	34847.9524
382	34801.52563
383	34730.10477
384	34703.20305
385	34665.08857
386	34616.22631
387	34586.14854
388	34557.82968
389	34519.48472
390	34487.99129
391	34443.20754
392	34406.66644
393	34363.12956
394	34332.11989
395	34304.32201
396	34275.58672
397	34228.51638
398	34184.76429
399	34150.64675
400	34104.61803
401	34062.50832
402	34024.06105
403	33988.0862
404	33942.40483
405	33922.67653
406	33904.28055
407	33854.13674
408	33822.50248
409	33802.74533
410	33775.35602
411	33722.92644
412	33697.10705
413	33671.26949
414	33636.87661
415	33590.08863
416	33566.28686
417	33525.01542
418	33491.58561
419	33466.48856
420	33444.55279
421	33410.81034
422	33367.19526
423	33335.49264
424	33305.59043
425	33279.382
426	33253.60824
427	33224.01925
428	33193.00409
429	33155.72866
430	33130.07706
431	33098.12063
432	33071.12283
433	33032.82933
434	33007.49585
435	32985.48028
436	32963.66842
437	32936.59271
438	32908.76616
439	32884.59413
440	32855.41654
441	32822.45645
442	32788.21161
443	32746.34582
444	32716.3113
445	32688.72479
446	32661.93282
447	32636.79636
448	32603.72611
449	32561.19845
450	32538.64488
451	32518.81665
452	32497.82722
453	32479.22573
454	32456.36256
455	32426.97307
456	32408.14942
457	32389.02776
458	32351.09189
459	32324.57813
460	32293.05806
461	32264.42733
462	32242.75292
463	32223.70732
464	32197.10863
465	32152.8498
466	32126.25465
467	32093.37164
468	32065.49634
469	32042.55397
470	32018.61397
471	31988.71287
472	31963.77836
473	31945.29945
474	31918.18242
475	31899.23139
476	31877.40811
477	31837.2489
478	31809.75025
479	31783.16424
480	31741.87512
481	31698.59353
482	31659.42928
483	31633.18011
484	31588.12185
485	31561.30542
486	31539.90051
487	31522.39886
488	31496.2235
489	31468.70373
490	31447.45766
491	31425.68584
492	31406.13229
493	31382.66921
494	31357.25467
495	31322.07237
496	31303.80737
497	31276.69156
498	31254.53184
