iter	Passed	Remaining
0	334	334062
1	753	375966
2	1223	406525
3	1619	403230
4	1981	394387
5	2547	422018
6	2932	416005
7	3305	409877
8	3677	404978
9	4262	421998
10	4662	419174
11	5019	413291
12	5564	422473
13	5928	417554
14	6309	414306
15	6702	412205
16	7052	407806
17	7433	405516
18	7896	407719
19	8254	404487
20	8612	401485
21	8956	398137
22	9302	395145
23	9666	393090
24	10010	390398
25	10431	390771
26	10874	391897
27	11282	391677
28	11747	393348
29	12184	393957
30	12787	399705
31	13208	399568
32	13578	397898
33	14069	399752
34	14421	397625
35	14775	395654
36	15122	393595
37	15480	391896
38	15874	391160
39	16269	390476
40	16667	389867
41	17075	389481
42	17431	387943
43	17982	390717
44	18367	389807
45	18758	389042
46	19170	388719
47	19558	387916
48	20090	389927
49	20482	389160
50	20844	387875
51	21231	387063
52	21694	387633
53	22053	386348
54	22426	385323
55	22793	384232
56	23170	383322
57	23534	382240
58	23898	381157
59	24273	380283
60	24646	379396
61	25015	378463
62	25408	377904
63	25782	377074
64	26132	375909
65	26482	374765
66	26879	374307
67	27267	373725
68	27687	373580
69	28160	374134
70	28520	373182
71	28878	372213
72	29244	371361
73	29601	370417
74	29955	369455
75	30326	368709
76	30688	367864
77	31034	366846
78	31378	365822
79	31723	364816
80	32071	363870
81	32417	362914
82	32763	361973
83	33140	361392
84	33507	360696
85	33873	359999
86	34238	359303
87	34593	358515
88	34944	357691
89	35292	356841
90	35673	356342
91	36154	356829
92	36548	356450
93	36909	355742
94	37280	355144
95	37631	354361
96	38053	354254
97	38417	353595
98	38768	352834
99	39119	352078
100	39476	351380
101	39830	350667
102	40182	349943
103	40606	349840
104	40995	349437
105	41389	349075
106	41980	350363
107	42363	349887
108	42745	349415
109	43114	348837
110	43480	348238
111	43861	347759
112	44226	347156
113	44580	346476
114	44918	345674
115	45299	345210
116	45682	344763
117	46056	344254
118	46426	343713
119	46782	343069
120	47143	342474
121	47492	341788
122	47902	341546
123	48262	340951
124	48621	340350
125	48971	339692
126	49330	339098
127	49720	338723
128	50094	338235
129	50604	338662
130	50955	338020
131	51364	337763
132	51721	337159
133	52080	336580
134	52436	335979
