iter	R2	RMSE
0	0.04151203224	455655.4185
1	0.06911348516	449046.769
2	0.1019282143	441061.0761
3	0.1299409747	434127.7672
4	0.157723314	427140.3471
5	0.1854590782	420048.7148
6	0.2069728674	414464.3966
7	0.2280265733	408925.6776
8	0.2500236073	403057.4964
9	0.2684412967	398077.6521
10	0.293159898	391294.548
11	0.3085836447	387001.8407
12	0.3290822315	381221.9103
13	0.3457792113	376448.3314
14	0.3588558284	372667.1016
15	0.378819355	366819.2884
16	0.3924754762	362764.7779
17	0.403819595	359361.9203
18	0.4169805591	355373.2423
19	0.4290620271	351671.9024
20	0.4391953588	348537.0941
21	0.4523640341	344420.6545
22	0.4647476281	340504.2263
23	0.4818321054	335025.9573
24	0.4950488266	330725.6657
25	0.5056472814	327236.4479
26	0.5103542288	325674.8415
27	0.5238825332	321144.3336
28	0.5342043996	317644.1764
29	0.5418054757	315041.7809
30	0.5532159732	311094.2796
31	0.5617918019	308094.1524
32	0.5681495762	305850.9836
33	0.5746750114	303531.4216
34	0.5778377096	302400.7926
35	0.5891532547	298320.5231
36	0.5944521966	296390.4684
37	0.5999925317	294358.9576
38	0.6058940912	292179.4583
39	0.6101559647	290595.3451
40	0.6142585845	289062.225
41	0.6196446013	287037.0771
42	0.627410878	284091.5341
43	0.6349233376	281212.902
44	0.6399617625	279265.6498
45	0.6427233514	278192.5673
46	0.6445452211	277482.3636
47	0.651833563	274622.8424
48	0.6547907028	273454.1056
49	0.6582717506	272071.8736
50	0.6623143227	270457.8098
51	0.6654353061	269205.0861
52	0.6708641661	267012.0064
53	0.6777119435	264219.7712
54	0.6804850084	263080.6016
55	0.6862628949	260691.0665
56	0.6906717198	258852.8911
57	0.6935303594	257654.0278
58	0.6984335011	255584.6418
59	0.7005535198	254684.6747
60	0.7031609966	253573.3971
61	0.7050596869	252761.1222
62	0.708406675	251322.8613
63	0.7109223182	250236.4026
64	0.7124462608	249575.9403
65	0.7159567085	248047.8544
66	0.7175039646	247371.3419
67	0.7209271218	245868.0077
68	0.7224782503	245183.7702
69	0.7267417466	243293.1327
70	0.7319776702	240950.9791
71	0.7355151921	239355.5885
72	0.7377480429	238343.0954
73	0.7399499675	237340.396
74	0.7412517074	236745.6199
75	0.7428839318	235997.7245
76	0.7451337512	234962.9412
77	0.7490435724	233153.7302
78	0.7501116319	232657.0552
79	0.7518186318	231861.0475
80	0.7533643706	231137.874
81	0.7547746446	230476.098
82	0.756869099	229489.7465
83	0.7584738708	228731.1255
84	0.7607988879	227627.5393
85	0.764190706	226007.9236
86	0.7661783559	225053.3911
87	0.767731301	224304.7911
88	0.7693325765	223530.268
89	0.7706341487	222898.7259
90	0.7718047705	222329.1906
91	0.7726592982	221912.5197
92	0.7750591854	220738.1194
93	0.7773084346	219631.7341
94	0.7781466954	219217.9729
95	0.7794185608	218588.691
96	0.7805916806	218006.6553
97	0.7815123089	217548.801
98	0.7826223796	216995.447
99	0.7835028673	216555.5312
100	0.7845320062	216040.2098
101	0.7855801197	215514.1208
102	0.7868894923	214855.0858
103	0.7901327054	213213.9365
104	0.7919181308	212305.051
105	0.7944201509	211024.7906
106	0.7949535908	210750.8284
107	0.7975992938	209386.7606
108	0.7997273791	208283.0828
109	0.8008881698	207678.5957
110	0.8022818191	206950.514
111	0.8029706126	206589.7214
112	0.8055757982	205219.3789
113	0.8075022095	204200.1614
114	0.809084663	203359.1021
115	0.8114236664	202109.5338
116	0.8124455484	201561.1811
117	0.8134350289	201028.7902
118	0.8140537841	200695.1506
119	0.8150859989	200137.3312
120	0.8163459237	199454.3408
121	0.8174635951	198846.5007
122	0.8185667235	198244.7424
123	0.8198166482	197560.6913
124	0.8214990033	196636.2254
125	0.8235063119	195527.4767
126	0.8246368686	194900.2303
127	0.8261335631	194066.7279
128	0.8267546858	193719.7745
129	0.8280190763	193011.5707
130	0.8290860252	192411.929
131	0.8302790894	191739.1877
132	0.8313955176	191107.5147
133	0.8327775393	190322.6655
134	0.8333981719	189969.1536
135	0.8340762382	189582.174
136	0.8352369067	188917.9285
137	0.8362572922	188332.0312
138	0.8373357295	187710.8133
139	0.8384762039	187051.6152
140	0.8392106746	186625.8561
141	0.840753925	185728.0825
142	0.8414235152	185337.2009
143	0.8422510523	184852.9739
144	0.8436741302	184017.2911
145	0.8453546578	183025.5111
146	0.8465167948	182336.5093
147	0.8482215049	181321.0927
148	0.8489908842	180860.9421
149	0.8500021566	180254.3333
150	0.8510193557	179642.103
151	0.8521768306	178942.8958
152	0.8531885925	178329.4654
153	0.8540957625	177777.6492
154	0.8548731956	177303.3832
155	0.8560842332	176562.0629
156	0.856846993	176093.548
157	0.8576957554	175570.7375
158	0.8587497197	174919.3543
159	0.8597157616	174320.172
160	0.8605888985	173776.8361
161	0.8622650522	172729.0088
162	0.8630851349	172214.0212
163	0.8642780056	171462.1728
164	0.8651266686	170925.2598
165	0.86598641	170379.6129
166	0.8665754551	170004.7561
167	0.8673176751	169531.2417
168	0.8685622149	168734.2799
169	0.8689873072	168461.2011
170	0.8696765268	168017.5042
171	0.870595283	167424.2107
172	0.8714726035	166855.7055
173	0.8719285427	166559.4899
174	0.872592345	166127.285
175	0.8735275514	165516.4526
176	0.8741790583	165089.5836
177	0.8753696693	164306.6269
178	0.8765547716	163523.5701
179	0.8775653283	162852.8701
180	0.8790768082	161844.5231
181	0.8803407925	160996.438
182	0.8813232268	160334.1638
183	0.8820860617	159818.0321
184	0.8835339899	158833.7557
185	0.8840796532	158461.2372
186	0.8848327691	157945.6498
187	0.8854837449	157498.6281
188	0.8859255628	157194.5099
189	0.8864745135	156815.8268
190	0.8868323414	156568.4931
191	0.8876000066	156036.5536
192	0.8888099898	155194.4161
193	0.8898421784	154472.3935
194	0.890368299	154103.0671
195	0.8917647271	153118.4819
196	0.8921176099	152868.6696
197	0.8925169714	152585.4609
198	0.8927802377	152398.4768
199	0.893461249	151913.7229
200	0.8938837201	151612.2227
201	0.8942306568	151364.1792
202	0.89501588	150801.2747
203	0.8954259297	150506.4848
204	0.8957904235	150243.96
205	0.8962504938	149911.9404
206	0.8971809949	149238.1666
207	0.8975650145	148959.2104
208	0.8981400289	148540.534
209	0.8985992752	148205.3004
210	0.898885452	147996.0175
211	0.8995404833	147515.8713
212	0.89980598	147320.8131
213	0.9004263155	146864.0482
214	0.9007795513	146603.3181
215	0.9012736015	146237.8703
216	0.9016051247	145992.1304
217	0.9017879292	145856.4505
218	0.9020053525	145694.9115
219	0.9021866431	145560.0809
220	0.9027400577	145147.7173
221	0.90296248	144981.6543
222	0.9031652503	144830.0977
223	0.9033948568	144658.2913
224	0.9035576837	144536.3299
225	0.9037468916	144394.479
226	0.903902693	144277.5686
227	0.9040740886	144148.8471
228	0.9042254175	144035.1006
229	0.9043822424	143917.128
230	0.9045768089	143770.6295
231	0.9047929702	143607.696
232	0.905496124	143076.4042
233	0.905924931	142751.4339
234	0.906232206	142518.1105
235	0.9066653698	142188.5456
236	0.9070954187	141860.5932
237	0.9074400705	141597.2158
238	0.9076281559	141453.2771
239	0.9081031422	141089.1241
240	0.9084330095	140835.674
241	0.9088906405	140483.3009
242	0.909634655	139908.5198
243	0.9099445415	139668.4223
244	0.9101950257	139474.047
245	0.9107212929	139064.7798
246	0.9109217852	138908.5439
247	0.9113251894	138593.6528
248	0.9115643353	138406.6409
249	0.9119304147	138119.8767
250	0.9121668282	137934.368
251	0.9123631362	137780.1395
252	0.9128817324	137371.8737
253	0.9133692505	136986.9646
254	0.9136689355	136749.8171
255	0.9138685758	136591.6089
256	0.9141857001	136339.9211
257	0.914443435	136135.0253
258	0.9149580046	135725.024
259	0.9150888261	135620.5899
260	0.9154505159	135331.4351
261	0.9162680455	134675.5695
262	0.9164601141	134521.018
263	0.9168040792	134243.7956
264	0.9171653465	133952.0105
265	0.9173307676	133818.1924
266	0.9176869282	133529.6194
267	0.917848633	133398.3948
268	0.9182678705	133057.5779
269	0.9185374687	132837.9475
270	0.9189557176	132496.4972
271	0.9192227925	132278.0013
272	0.9194580518	132085.2345
273	0.919842851	131769.3299
274	0.9200953946	131561.5896
275	0.9204819193	131243.0006
276	0.9207571283	131015.6902
277	0.9209639218	130844.6282
278	0.9211624612	130680.1834
279	0.9213269921	130543.7499
280	0.9215833281	130330.9046
281	0.9219506869	130025.2654
282	0.9222564512	129770.3234
283	0.9225323538	129539.8491
284	0.9227662923	129344.1075
285	0.9228816451	129247.4802
286	0.923302342	128894.4619
287	0.9234475126	128772.4207
288	0.9238349685	128446.1287
289	0.9240473299	128266.9386
290	0.924371663	127992.7829
291	0.9245492562	127842.4159
292	0.9247569558	127666.3333
293	0.9252337118	127261.23
294	0.9254265233	127097.0299
295	0.9256116757	126939.1525
296	0.9259182336	126677.3212
297	0.9261322648	126494.1958
298	0.9262844028	126363.8649
299	0.9266078783	126086.3079
300	0.9269954084	125752.9826
301	0.9272273914	125553.0241
302	0.9275150123	125304.6654
303	0.927813703	125046.2258
304	0.928064997	124828.3815
305	0.928172111	124735.4097
306	0.9283828435	124552.2976
307	0.9284962735	124453.6231
308	0.9286475836	124321.8744
309	0.9289531992	124055.3418
310	0.9291739915	123862.4283
311	0.9295143609	123564.4463
312	0.9296212991	123470.677
313	0.9297568928	123351.6786
314	0.930106725	123044.1305
315	0.9304243356	122764.2423
316	0.9307624724	122465.5627
317	0.9309024006	122341.7493
318	0.9310754176	122188.4845
319	0.9311988704	122079.0077
320	0.9314150463	121887.0683
321	0.9315860846	121734.9915
322	0.9318506089	121499.4177
323	0.9320696896	121303.9676
324	0.932190183	121196.3366
325	0.9323664168	121038.743
326	0.932710754	120730.2326
327	0.9331350497	120348.9954
328	0.9332476409	120247.6273
329	0.9334637344	120052.8343
330	0.9337048441	119835.117
331	0.9338125298	119737.7512
332	0.9340810232	119494.6428
333	0.9342499888	119341.3983
334	0.9345250092	119091.545
335	0.9348532798	118792.6265
336	0.9351003672	118567.135
337	0.9352142773	118463.0365
338	0.9353818371	118309.7427
339	0.9356072507	118103.2069
340	0.9357325013	117988.2895
341	0.9359241765	117812.2105
342	0.9360552906	117691.6131
343	0.9362056815	117553.1328
344	0.9362893236	117476.0443
345	0.9365051917	117276.856
346	0.9367335731	117065.7522
347	0.9368638174	116945.1906
348	0.9369648545	116851.5792
349	0.9371481286	116681.5831
350	0.9373256229	116516.7117
351	0.9374893601	116364.4119
352	0.9375616701	116297.0893
353	0.9376646879	116201.1097
354	0.9378675048	116011.9171
355	0.9380677835	115824.7891
356	0.9384359145	115480.0392
357	0.9385504777	115372.5421
358	0.9387000906	115232.0061
359	0.9387700048	115166.2748
360	0.9389190752	115025.9975
361	0.9391265885	114830.4395
362	0.9392633617	114701.3638
363	0.9394207108	114552.6903
364	0.9395679218	114413.4209
365	0.9397133281	114275.6924
366	0.9399968093	114006.701
367	0.940126067	113883.8393
368	0.9403492674	113671.3708
369	0.9404634917	113562.4848
370	0.9405717551	113459.1848
371	0.9407724112	113267.4785
372	0.941041373	113010.0031
373	0.9411568641	112899.2641
374	0.9412266695	112832.2782
375	0.9412988667	112762.9553
376	0.9416131233	112460.7119
377	0.9416809504	112395.371
378	0.9418033549	112277.3571
379	0.9419357065	112149.613
380	0.9420294836	112059.0125
381	0.94207701	112013.0679
382	0.9422086537	111885.7075
383	0.9423592808	111739.8031
384	0.9426666929	111441.4369
385	0.9428787074	111235.1948
386	0.942955881	111160.0273
387	0.9430607467	111057.8061
388	0.9431775777	110943.8105
389	0.9434756016	110652.4873
390	0.9435901544	110540.3058
391	0.9436603104	110471.5459
392	0.9437843713	110349.8488
393	0.943867834	110267.9008
394	0.944026227	110112.2146
395	0.9441458402	109994.4995
