iter	Passed	Remaining
0	108	107970
1	240	120183
2	365	121540
3	486	121060
4	629	125173
5	753	124794
6	883	125272
7	1011	125467
8	1142	125778
9	1283	127051
10	1610	144784
11	1744	143611
12	1867	141787
13	1999	140792
14	2130	139908
15	2255	138712
16	2388	138132
17	2509	136903
18	2638	136245
19	2764	135464
20	2899	135171
21	3027	134594
22	3162	134329
23	3282	133483
24	3411	133043
25	3540	132630
26	3665	132076
27	3792	131642
28	3936	131817
29	4087	132159
30	4272	133562
31	4461	134946
32	4620	135404
33	4776	135694
34	4922	135720
35	5082	136097
36	5232	136183
37	5554	140623
38	5861	144441
39	6024	144599
40	6174	144413
41	6324	144250
42	6476	144150
43	6658	144679
44	6812	144580
45	6992	145010
46	7154	145069
47	7319	145170
48	7512	145799
49	7933	150735
50	8186	152325
51	8327	151820
52	8457	151109
53	8583	150366
54	8720	149841
55	8855	149279
56	8979	148555
57	9100	147806
58	9232	147245
59	9360	146651
60	9486	146034
61	9609	145381
62	9738	144844
63	9870	144360
64	9992	143744
65	10115	143144
66	10241	142613
67	10385	142348
68	10507	141769
69	10629	141226
70	10763	140834
71	10889	140347
72	11009	139803
73	11126	139234
74	11260	138880
75	11387	138443
76	11507	137937
77	11634	137526
78	11755	137053
79	11874	136551
80	11996	136112
81	12125	135745
82	12243	135263
83	12359	134780
84	12478	134327
85	12602	133935
86	12724	133530
87	12840	133073
88	12961	132671
89	13080	132261
90	13216	132023
91	13344	131704
92	13469	131366
93	13591	130999
94	13719	130697
95	13837	130300
96	13956	129927
97	14077	129570
98	14199	129230
99	14321	128889
100	14437	128511
101	14565	128234
102	14701	128030
103	14832	127790
104	14953	127464
105	15080	127186
106	15200	126856
107	15340	126697
108	15459	126370
109	15587	126117
110	15823	126729
111	16015	126978
112	16152	126786
113	16281	126535
114	16432	126455
115	16557	126180
116	16687	125936
117	16812	125664
118	16941	125424
119	17082	125273
120	17213	125044
121	17338	124779
122	17484	124668
123	17620	124480
124	17754	124283
125	17878	124015
126	18011	123814
127	18130	123513
128	18255	123262
129	18397	123120
130	18525	122891
131	18658	122693
132	18781	122432
133	18914	122236
134	19112	122463
135	19362	123011
